assembly_id	accession	raw_fasta_sha256	normalized_fasta_sha256	coordinate_map_sha256
A_BTAU	GCF_002263795.3	379997437cd2620b44b82212d9c4c292bbdbe6339617294f4c83885654498aaf	1aac63d4a7caf4d462a794a98eec7618bbe17d12cc3c519be437bec18046acf7	3dcc3ed837d66bab21d73370e3876d23a7f84053126ccae978fd07a005cbdb97
A_DRER	GCF_000002035.6	c0a6e6ab81b3208d33bf736eb42fa93fe0af7d9e290cf65c63a5f0e6f07f9dcd	da24af06ab2cf367629c6edba3ce7e4902a5242dab9bd91ea2d257e379d6ee52	3cf1405325a29af344543cef82d48bee10f7d676ed94087748efe82f66f99c57
A_GGAL	GCF_016699485.2	c00276960581c387ff99818d21159bff8275190526f2d34ae92d531f5afb498f	0cf8fc268b5a9e3debe4abc9245f6e78a380f7ff251c02d94bd24d9892e98597	7a4c6d0fa69479e50dd308e4093437eef0822d0b1d1554685628398198be7daf
A_HSAP	GCF_000001405.40	df6e4918316e05a9cc1fd29c352841d3678b607d7a436819cd43371b52c814c0	c36698b7e3945bdefb5e2c7782853db6d91b1ea30001e474d9a1e89880a69131	c5d1b815bce07ec571f6bfadfba5884e46f12f80a2dbc2623069d5ef4ce317bc
A_MMUL	GCF_003339765.1	c5cc5eb0231a25646b9d45b270495eae881edfb8a0d67af53a8f46fa965a0d6b	7233a0bb967602e795b0d1688b98032759468d124ce047822e274d45fe7de1c8	1d818c778f449d38d20dfa10b187bbea3104f154d4ffd053059cf5dcd16b81c0
A_MMUS	GCF_000001635.27	b1d94d96ef9ba5ec6ad957b7233a8ed18541d7da1a575f84cf97e31a9407e0dd	5ad32b30e909fa894e673dcd5b5561d45711b86f028c2d40882f79e0b384b156	f63acc4c3cca2d15088a150b8005a0d0d26d3c900bcf48cf85469bd007496d97
A_PTRO	GCF_028858775.2	01376b85cfbe6c4f569078095a61a793ceacb928a4d6b797e4c53c7c117a0f6e	3aeaf0161f56749a1b5b4b5339e4a6b648fb04bd344d01b3398742754a835a1b	4b077ee7032f6f24a72ed732e9a2828e35335944a01dbd5d2eb15147ccf364bb
B_BSUB	GCF_000009045.1	59c09816fb55fb1a0b42d0715f627bb42018a19c6bf933c9cb37f6058ee4737e	a35eb0e7fc2ff0dc5dd66a0efa6fcb4f0b9ae4a6f3188450c4328ca1df908bb1	47a0495b2b2c68de9f69bb7ed77a6661521100737834774210b5edf869531914
B_ECOLI	GCF_000005845.2	53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4	24b75ef5acd69e1c8fc9ba957498647ce03c9c572c67f6e46e8695a1557126c7	f70c809662304298393be50cd5f6b99364b9f7e5f83ed8ec8566f0da32bdf18e
B_KLEB	GCF_000240185.1	9528cd6940c58fae4b812a4af1a4c57f0db66f00b5ba3d60e0bb14609f423b8f	45ff0af89674cfe3c31a3b3791df90c2ba18674039479cfb75edf89852f90252	0b4ac4e4b54c75cc15f18c800160ffe7781436a00f217de4e39bc47f798d5f64
B_MTUB	GCF_000195955.2	427dc8cea7ffbbac1b0baa31362bb7a30cac0a3ca9052d73634adf9122a63b28	4e4cfe29e3b54568e01706fe72d1551fa73fd74197d50ed8985a74bf2b89a029	1431ef1beec119db63717dce9f646b141b0ddfba137aaab0c4884526cf0bf12b
B_PAER	GCF_000006765.1	3e9335fb76772d324537b0c4c8cc7935e8b467b2acb0fae0c6e6dbeb2f227117	bd023f5688e8b01668bf219b633fb4c625969c3ff291f2a92eb281d131824976	bdb62aa377ff8ded64149470f678215961a9e51b41e675c4dfb616199a18d8a8
B_SALM	GCF_000006945.2	196a3eff4e6e6ed597173cc15d9dbde4cd55d76ad4d1b046da34cd75629c65cd	1d1b7d5f234edcde15b6bbbd6a16c580246961d8db908a5ecd86eb88aa2fd39a	bdb911d86611ef2c588f5dcd9d21ed3d158e958ca688abd0b928dd4c3ff956c5
B_VCHO	GCF_900205735.1	3ef1d63a5be6a52fb97de6233d6fff47971e060aba3dc64e3916382ae14141e1	61c4682e44ce061ce8fb6a8377884281060668e5d26b3e6358321fc7bddc8271	e97412e38ea3db130b9983a18712fb658445c7b1e98d7cdc87673c8776c6a185
F_CALB	GCF_000182965.3	9f067c1baa920a90179c8addc517bad246b55acac94701b08e13872bb1f65e91	7b89fa9e91e8fbc7a2c02573351d8953f83c0256a8607dacd9359908c7b5beff	62e85f246c059c9e72039da138bbc3e566588907aeae7a754ece5ff936a09eb1
F_CNEO	GCF_000149245.1	1b0018d6dc98790d8942ec4a008bd5b2b9ff337b8b6f76901c1a9bf79c6a47b3	9a42ea8fe544e1fc93d17962ce3dcb7dc3f31ffc1f6d0ad9cb8bebe51873b833	caec0a007f1907cedeae95aeaa3e7f5e265e3a54f20f14fa38fd04bb851b85f5
F_KLAC	GCF_000002515.2	02d6ce512aa01f09227ca6950cc379454b63fa02cadadc38f0aa14d552e33e9e	2552db9d216d0d874ef2c06861bafff9c00bbe3a5fe4edeae893a48ff8b9ea89	3c1183fbd2fbedf0bc1a71a69c971064e7c58127558d1d6e8e9fa3bdee069875
F_NCRA	GCF_000182925.2	8176a4ac98fe05dffa4fa92df030ce0f15af23fbc382c8d8176ffedd3012d847	168807208df5c43b24c4f3055141670d30460b1469b2b728c1766522e008fe73	c390d3625139415b0741c1ff36bf5d2145270120524bc8d1e352048a3593a9d3
F_SCER	GCF_000146045.2	fe42735d3e6242f8c40b457a232940e34ef15eb4502717e54a34ed118face4c1	3e50f984db5680481e732bcc167e1292d599cec704496277d2aa1dc241b7db65	b7868cfa008e3ec4ad66544b27ac50a62bba72703271ab056ff15af0fc57f287
F_SPOM	GCF_000002945.1	c8094591fa91fc83201517614738ea9957aebe1cb08a5a37ae6fa097b8467cdb	5d2d921087c1f5106576df424f79d776726de33b768da38eb95daf58c965799d	a587fc7e4f21be2e871de619658b408d28fe3da3708c6b2bc4bd8b4080e62f36
P_ALYR	GCF_000004255.2	5f6b7b6bab223eeb349b2aaf753dc03b805b2ac0018b6d2b52011fd8d0546340	2343eb20b15c5a590316cc81f8310ca7283d7c0f75e09dbe24e4d052927f74b1	b2f44b3251cda872ffa30680cb0e7c746e07d1b427a274ca72719c18358a3e7e
P_ATHA	GCF_000001735.4	de99316d1d5597e9a5d40d943ff919c17d59b77116354a5d388b183b6f21075f	dc9055c741fe59476ebb3fe4ea095fb80719b63cf0f6c9487534ba30038bde13	07d21d6eef47a603fbc1560ceeeaf7597f863cb69a78b020348f83254975f468
P_CRUB	GCF_000375325.1	947fda8f49900a8ae749fb384f24004c8ac8422598bf0bf23877234ab24c7092	051357d7bf2486a346d6de8febf2f779b6c6dc4b341bef1cb87620c5e23b7cc8	a923d04da0011e5e30d6fbb5751b59035845a215afb541ac235001706542316a
P_PPAT	GCF_000002425.5	82aa24af6453287f85d9f98c0ea7be1b89c6babf9fb6b7c475ad80f42c399c9c	ea81d59756ff48015fe4f0aacecb11adecec49b900c5deb749e2c7a4ac7881b2	053efe9d13d3ca29f85cb1bef5f7c0e33f73f3ad7c29e451b131aa7a13397cf3
