token_id_uint64,mask_id,primary_contexts,ECOLI_boundary_role,PYRO_boundary_role,YEAST_boundary_role,pair_memberships,all_three
571276302,2,intergenic,0,1,1,1,0
666892255,2,intergenic|protein_coding_CDS,1,1,0,1,0
1547502540,5,intergenic|protein_coding_CDS,1,1,0,1,0
1613887484,6,intergenic|protein_coding_CDS,1,1,0,1,0
1844443103,6,intergenic|protein_coding_CDS,1,1,1,3,1
1880093692,7,intergenic|protein_coding_CDS,1,1,0,1,0
2149679872,8,intergenic|protein_coding_CDS,0,1,1,1,0
3227548671,12,intergenic,1,0,1,1,0
3237999103,12,intergenic|protein_coding_CDS,1,0,1,1,0
3674390528,13,intergenic|protein_coding_CDS,1,0,1,1,0
4027367391,15,intergenic|protein_coding_CDS,1,1,0,1,0
4629385211,17,intergenic,1,1,0,1,0
5821825056,21,intergenic|protein_coding_CDS,0,1,1,1,0
6493307092,24,intergenic|protein_coding_CDS,1,0,1,1,0
6501171464,24,intergenic|protein_coding_CDS,1,1,0,1,0
7725649919,28,intergenic|protein_coding_CDS,1,1,0,1,0
7780388863,28,intergenic|other_noncoding_RNA|protein_coding_CDS,1,0,1,1,0
7797211328,29,intergenic|organellar|protein_coding_CDS|unresolved,1,0,1,1,0
8320843583,30,intergenic|protein_coding_CDS,1,0,1,1,0
8443084784,31,intergenic,0,1,1,1,0
8824849455,32,intergenic|protein_coding_CDS,0,1,1,1,0
9062856700,33,intergenic,0,1,1,1,0
9127735412,34,intergenic|protein_coding_CDS,1,0,1,1,0
9328132160,34,intergenic|protein_coding_CDS|unresolved,1,1,1,3,1
9390735343,34,intergenic|protein_coding_CDS,1,1,0,1,0
9462349823,35,intergenic|organellar|protein_coding_CDS|unresolved,1,0,1,1,0
9661577213,35,intergenic|protein_coding_CDS,1,0,1,1,0
10922688764,40,intergenic|protein_coding_CDS,0,1,1,1,0
11274993680,42,intergenic|protein_coding_CDS,0,1,1,1,0
11541687712,42,intergenic|protein_coding_CDS,1,0,1,1,0
12062867699,44,intergenic|organellar,0,1,1,1,0
12300896288,45,intergenic|protein_coding_CDS,1,0,1,1,0
12414107393,46,intergenic|organellar,1,1,0,1,0
13186093054,49,intergenic,1,1,1,3,1
14478941567,53,intergenic,1,1,0,1,0
14496432130,54,intergenic|protein_coding_CDS,1,1,1,3,1
14692856752,54,intergenic|protein_coding_CDS,1,0,1,1,0
15048117132,56,intergenic|protein_coding_CDS,1,0,1,1,0
15354299343,57,intergenic|organellar,1,1,0,1,0
15503393804,57,intergenic|protein_coding_CDS,1,0,1,1,0
15571419328,58,intergenic,1,1,1,3,1
18052334300,67,intergenic|unresolved,0,1,1,1,0
18187350269,67,intergenic,1,0,1,1,0
18253468668,67,intergenic|protein_coding_CDS,1,0,1,1,0
19597688819,73,intergenic|protein_coding_CDS,1,0,1,1,0
20065601532,74,intergenic|protein_coding_CDS,1,0,1,1,0
20132888625,75,intergenic|protein_coding_CDS,1,0,1,1,0
21474835455,79,intergenic|protein_coding_CDS,1,0,1,1,0
21743263807,80,intergenic|protein_coding_CDS,1,0,1,1,0
21757951455,81,intergenic|protein_coding_CDS,1,1,0,1,0
21810331135,81,intergenic|protein_coding_CDS,0,1,1,1,0
22598874111,84,intergenic|protein_coding_CDS,1,1,0,1,0
22813622079,84,intergenic|organellar,1,1,1,3,1
23072014351,85,intergenic|protein_coding_CDS,1,0,1,1,0
23086444031,86,intergenic|protein_coding_CDS,1,1,0,1,0
23219945470,86,intergenic|protein_coding_CDS,1,1,0,1,0
23354147010,87,intergenic|protein_coding_CDS,1,0,1,1,0
23370629118,87,intergenic,1,1,0,1,0
23454794508,87,intergenic,0,1,1,1,0
24143458293,89,intergenic|protein_coding_CDS,1,1,0,1,0
24972840951,93,intergenic|protein_coding_CDS,1,0,1,1,0
25858932931,96,intergenic|protein_coding_CDS,1,0,1,1,0
26238516687,97,intergenic|protein_coding_CDS,0,1,1,1,0
26273112062,97,intergenic|protein_coding_CDS,1,0,1,1,0
26642022335,99,intergenic,1,1,0,1,0
27115244848,101,intergenic,1,0,1,1,0
27661435552,103,intergenic|protein_coding_CDS,1,0,1,1,0
27684241359,103,intergenic|protein_coding_CDS,0,1,1,1,0
27808170035,103,intergenic|protein_coding_CDS,1,1,0,1,0
28185854915,105,intergenic|protein_coding_CDS,0,1,1,1,0
28201648967,105,intergenic|protein_coding_CDS,1,0,1,1,0
28453646335,105,intergenic|protein_coding_CDS,1,1,0,1,0
28592603144,106,intergenic|protein_coding_CDS,0,1,1,1,0
28663090239,106,intergenic,0,1,1,1,0
28664131592,106,intergenic|protein_coding_CDS,0,1,1,1,0
29256835070,108,intergenic,1,1,1,3,1
29783555279,110,intergenic|organellar|protein_coding_CDS,1,0,1,1,0
29930520063,111,intergenic,1,1,1,3,1
31184617471,116,intergenic|protein_coding_CDS,1,0,1,1,0
31273288200,116,intergenic|protein_coding_CDS,1,0,1,1,0
31944859645,119,intergenic|protein_coding_CDS,1,0,1,1,0
