sample_index,token_id_uint64,mask_id,BACILLUS_occurrences,SULFOLOBUS_occurrences,POMBE_occurrences
1,6291630,0,0,0,1
2,17297444,0,0,0,1
3,29641930,0,0,0,0
4,69757063,0,0,0,0
5,70506359,0,0,0,0
6,88041475,0,0,0,0
7,97534079,0,0,0,0
8,120618484,0,0,0,0
9,130842567,0,0,0,0
10,131951055,0,0,0,0
11,234341936,0,0,0,0
12,241956994,0,0,0,0
13,264672105,0,0,0,0
14,268644556,1,0,0,4
15,302090371,1,0,0,0
16,318868486,1,0,0,0
17,336642824,1,0,0,0
18,367001121,1,0,0,0
19,469770370,1,0,0,0
20,571276302,2,0,0,0
21,666892255,2,1,0,2
22,668991167,2,0,0,4
23,724741631,2,0,0,0
24,770966180,2,0,0,0
25,788707313,2,0,0,2
26,791804943,2,0,0,2
27,792714367,2,0,0,0
28,805150901,2,0,0,0
29,806880819,3,0,0,3
30,807577604,3,0,0,0
31,809484796,3,0,0,5
32,810292352,3,0,0,0
33,818138172,3,0,0,2
34,825700079,3,0,0,0
35,907301336,3,0,0,1
36,936327116,3,0,1,0
37,937364831,3,0,0,0
38,946932736,3,0,0,0
39,1065356226,3,0,0,0
40,1085471730,4,0,0,1
41,1103168993,4,0,0,0
42,1107293377,4,3,0,0
43,1126608900,4,0,0,0
44,1144046323,4,0,0,0
45,1299922769,4,0,0,0
46,1357939723,5,0,0,2
47,1406185504,5,0,0,0
48,1478623361,5,1,0,0
49,1528866754,5,0,0,0
50,1547502540,5,0,0,2
51,1593567112,5,0,0,0
52,1610887171,6,0,0,4
53,1613887484,6,1,0,1
54,1613955020,6,0,0,4
55,1618050499,6,0,0,1
56,1623117836,6,0,0,2
57,1648304811,6,0,0,0
58,1649087548,6,0,0,1
59,1742700507,6,2,0,1
60,1751154849,6,0,0,0
61,1827765005,6,0,0,0
62,1844443103,6,0,0,0
63,1878690687,6,0,0,1
64,1880033320,7,0,0,0
65,1880093692,7,2,0,0
66,1912704047,7,0,0,0
67,1959758828,7,0,0,0
68,1976026623,7,0,0,1
69,2005241090,7,0,0,0
70,2078752524,7,0,0,1
71,2088574973,7,0,0,1
72,2113928191,7,1,0,5
73,2139617016,7,0,0,0
74,2149380099,8,0,0,2
75,2149583619,8,0,0,3
