sample_index,token_id_uint64,mask_id,ECOLI_occurrences,PYRO_occurrences,YEAST_occurrences,all_three_present
1,6291630,0,1,1,1,1
2,17297444,0,1,1,1,1
3,29641930,0,1,1,1,1
4,69757063,0,3,1,1,1
5,70506359,0,1,1,1,1
6,88041475,0,1,1,1,1
7,97534079,0,1,1,1,1
8,120618484,0,1,1,1,1
9,130842567,0,1,1,1,1
10,131951055,0,1,1,1,1
11,234341936,0,1,1,1,1
12,241956994,0,1,1,3,1
13,264672105,0,1,1,1,1
14,268644556,1,1,1,3,1
15,302090371,1,1,1,1,1
16,318868486,1,1,1,1,1
17,336642824,1,1,1,1,1
18,367001121,1,1,1,1,1
19,469770370,1,1,1,4,1
20,571276302,2,1,1,1,1
21,666892255,2,1,1,1,1
22,668991167,2,1,1,1,1
23,724741631,2,1,1,1,1
24,770966180,2,1,1,1,1
25,788707313,2,1,1,1,1
26,791804943,2,1,1,1,1
27,792714367,2,1,1,1,1
28,805150901,2,1,1,1,1
29,806880819,3,1,1,1,1
30,807577604,3,1,1,1,1
31,809484796,3,1,1,2,1
32,810292352,3,1,1,1,1
33,818138172,3,1,1,3,1
34,825700079,3,1,1,1,1
35,907301336,3,1,2,1,1
36,936327116,3,1,1,1,1
37,937364831,3,1,1,1,1
38,946932736,3,1,1,1,1
39,1065356226,3,1,1,2,1
40,1085471730,4,2,1,1,1
41,1103168993,4,1,1,1,1
42,1107293377,4,2,1,1,1
43,1126608900,4,1,1,1,1
44,1144046323,4,1,1,1,1
45,1299922769,4,1,1,1,1
46,1357939723,5,1,1,1,1
47,1406185504,5,1,2,2,1
48,1478623361,5,1,1,1,1
49,1528866754,5,1,1,1,1
50,1547502540,5,1,1,1,1
51,1593567112,5,1,1,1,1
52,1610887171,6,1,1,1,1
53,1613887484,6,1,1,1,1
54,1613955020,6,1,1,1,1
55,1618050499,6,1,1,1,1
56,1623117836,6,1,1,1,1
57,1648304811,6,1,1,1,1
58,1649087548,6,1,1,1,1
59,1742700507,6,1,1,1,1
60,1751154849,6,1,1,2,1
61,1827765005,6,1,1,1,1
62,1844443103,6,1,1,2,1
63,1878690687,6,1,1,1,1
64,1880033320,7,1,2,1,1
65,1880093692,7,5,1,1,1
66,1912704047,7,1,2,1,1
67,1959758828,7,1,1,1,1
68,1976026623,7,1,1,2,1
69,2005241090,7,1,1,1,1
70,2078752524,7,1,1,1,1
71,2088574973,7,1,1,1,1
72,2113928191,7,1,1,1,1
73,2139617016,7,1,1,1,1
74,2149380099,8,1,1,1,1
75,2149583619,8,2,1,1,1
76,2149679872,8,1,1,1,1
77,2160123888,8,1,1,1,1
78,2167207344,8,1,1,1,1
79,2177124124,8,1,1,1,1
80,2181595691,8,1,1,1,1
81,2214272193,8,1,1,1,1
82,2222717634,8,1,1,1,1
83,2266959356,8,1,1,1,1
84,2277719108,8,1,1,1,1
85,2280726493,8,1,1,1,1
86,2285892927,8,1,1,1,1
87,2382361329,8,1,1,1,1
88,2398138369,8,1,1,1,1
89,2402419116,8,1,1,2,1
90,2406751740,8,1,1,1,1
91,2407497717,8,1,3,3,1
92,2411006764,8,8,2,1,1
93,2417696515,9,1,1,1,1
94,2550137000,9,1,1,2,1
95,2597298358,9,1,1,1,1
96,2667626467,9,1,1,1,1
97,2670706880,9,1,1,1,1
98,2683798198,9,1,1,1,1
