sample_index,token_id_uint64,mask_id,PSEUDOMONAS_occurrences,MYCOPLASMA_occurrences,METHANOCALDOCOCCUS_occurrences,HALOFERAX_occurrences,NEUROSPORA_occurrences,CELEGANS_occurrences
1,6291630,0,0,0,0,0,0,4
2,17297444,0,0,0,0,0,0,3
3,29641930,0,0,0,0,0,0,0
4,69757063,0,0,0,0,0,0,0
5,70506359,0,0,0,0,0,0,0
6,88041475,0,0,0,0,0,1,1
7,97534079,0,0,0,0,0,0,4
8,120618484,0,0,0,0,0,0,2
9,130842567,0,0,0,0,0,0,7
10,131951055,0,0,0,0,0,0,0
11,234341936,0,0,0,0,0,0,1
12,241956994,0,0,0,0,0,0,0
13,264672105,0,0,0,0,0,0,0
14,268644556,1,0,0,1,0,10,14
15,302090371,1,0,0,0,0,0,0
16,318868486,1,0,0,0,0,1,0
17,336642824,1,0,0,0,0,1,0
18,367001121,1,0,0,0,0,0,2
19,469770370,1,0,0,0,0,3,8
20,571276302,2,0,0,0,0,0,2
21,666892255,2,0,0,0,0,3,13
22,668991167,2,0,0,0,0,1,6
23,724741631,2,0,0,0,0,0,2
24,770966180,2,0,0,0,0,0,1
25,788707313,2,0,0,0,0,0,19
26,791804943,2,0,0,0,0,0,43
27,792714367,2,0,0,0,0,3,18
28,805150901,2,0,0,0,0,0,2
29,806880819,3,0,0,0,0,0,0
30,807577604,3,0,0,0,0,0,1
31,809484796,3,0,0,3,0,1,42
32,810292352,3,0,0,0,0,0,1
33,818138172,3,0,0,0,0,10,10
34,825700079,3,0,0,0,0,0,8
35,907301336,3,0,0,0,0,4,1
36,936327116,3,0,0,0,0,1,2
37,937364831,3,0,0,1,0,1,2
38,946932736,3,0,0,0,0,0,4
39,1065356226,3,0,0,2,0,3,22
40,1085471730,4,0,0,2,0,0,4
41,1103168993,4,0,0,0,0,0,0
42,1107293377,4,0,1,0,0,1,10
43,1126608900,4,0,0,0,0,0,0
44,1144046323,4,0,0,0,0,1,2
45,1299922769,4,0,0,0,0,0,1
46,1357939723,5,0,0,0,0,0,3
47,1406185504,5,0,0,0,0,0,2
48,1478623361,5,0,0,0,0,0,3
49,1528866754,5,0,0,0,0,1,0
50,1547502540,5,0,0,0,0,2,5
51,1593567112,5,0,0,0,0,0,0
52,1610887171,6,0,0,1,0,0,66
53,1613887484,6,0,0,0,0,1,8
54,1613955020,6,0,0,1,0,0,27
55,1618050499,6,0,0,1,0,0,0
56,1623117836,6,0,0,0,0,0,4
57,1648304811,6,0,0,0,0,0,0
58,1649087548,6,0,0,0,0,0,0
59,1742700507,6,0,0,1,0,2,13
60,1751154849,6,0,0,1,0,2,2
61,1827765005,6,0,0,0,0,0,0
62,1844443103,6,0,0,0,0,0,10
63,1878690687,6,0,0,0,0,1,1
64,1880033320,7,0,0,0,0,5,3
65,1880093692,7,0,0,1,0,6,111
66,1912704047,7,0,0,0,0,1,4
67,1959758828,7,0,0,0,0,1,0
68,1976026623,7,1,0,0,0,1,3
69,2005241090,7,0,0,0,0,0,0
70,2078752524,7,0,0,0,0,0,0
71,2088574973,7,0,0,0,0,1,3
72,2113928191,7,0,0,0,0,12,86
73,2139617016,7,0,0,0,0,1,1
74,2149380099,8,0,3,1,0,0,35
75,2149583619,8,0,0,0,0,1,7
76,2149679872,8,0,0,0,0,1,5
77,2160123888,8,0,0,0,0,2,25
78,2167207344,8,0,0,0,0,1,0
79,2177124124,8,0,0,0,0,2,3
80,2181595691,8,0,0,0,0,5,27
81,2214272193,8,0,0,0,0,0,1
82,2222717634,8,0,0,0,0,0,0
83,2266959356,8,0,0,2,0,0,2
84,2277719108,8,0,0,0,0,0,0
85,2280726493,8,0,0,0,0,0,3
86,2285892927,8,0,0,0,0,1,4
87,2382361329,8,0,0,0,0,1,7
88,2398138369,8,0,0,0,0,1,12
89,2402419116,8,0,0,0,0,0,0
90,2406751740,8,0,0,1,0,0,3
91,2407497717,8,0,0,0,0,17,13
92,2411006764,8,0,0,0,0,0,2
93,2417696515,9,0,0,0,0,0,2
94,2550137000,9,0,0,0,0,9,13
95,2597298358,9,0,0,0,0,0,0
96,2667626467,9,0,0,0,0,0,18
97,2670706880,9,0,1,0,0,0,18
98,2683798198,9,0,0,0,0,2,2
99,2684523228,10,0,0,0,0,1,0
100,2717906812,10,0,0,0,0,1,5
101,2735718412,10,0,1,0,0,2,35
102,2748267633,10,0,0,0,0,1,5
103,2749507592,10,0,0,0,0,0,0
104,2752192139,10,0,0,0,0,0,1
105,2802847544,10,0,0,0,0,0,3
106,2821389312,10,0,0,0,0,2,8
107,2895230783,10,0,0,0,0,0,0
108,2936828175,10,0,0,0,0,0,1
109,2960932155,11,0,0,0,0,0,1
110,2961155071,11,0,0,0,0,0,11
111,2986999852,11,0,0,0,0,0,7
112,3166174244,11,0,0,0,0,0,7
113,3179280368,11,0,0,0,0,0,2
114,3227548671,12,0,0,0,0,1,1
115,3237084316,12,0,0,0,0,0,2
116,3237999103,12,0,1,1,0,1,140
117,3355203665,12,1,0,0,0,0,0
118,3434285088,12,0,0,0,0,0,6
119,3488817792,12,0,0,2,0,0,1
120,3492548624,13,0,0,0,0,2,6
121,3611522843,13,0,0,0,0,0,0
122,3623206407,13,0,0,0,0,0,0
123,3674390528,13,0,0,1,0,2,46
124,3690999615,13,0,1,2,0,1,70
125,3692428976,13,0,0,0,0,0,1
126,3743416536,13,0,0,0,0,0,2
127,3756847070,13,0,0,0,0,0,0
128,3787857889,14,0,0,0,0,0,1
129,3837793759,14,0,0,0,0,0,1
130,3854573565,14,0,0,0,0,1,3
131,3870170433,14,0,0,0,0,0,0
132,3892310715,14,0,0,0,0,1,3
133,4018094556,14,0,0,1,0,0,2
134,4022339695,14,0,0,0,0,0,21
135,4022870144,14,0,0,1,0,4,7
136,4025663468,14,0,0,0,0,0,12
137,4027367391,15,0,0,0,0,0,14
138,4056169567,15,0,0,0,0,0,0
139,4058002371,15,0,0,0,0,0,3
140,4060023944,15,0,1,1,0,0,1
141,4228411168,15,0,0,0,0,0,3
142,4257185270,15,0,0,0,0,2,1
143,4286612990,15,0,0,0,0,0,6
144,4293969869,15,0,0,0,0,1,6
145,4294768639,15,0,1,3,0,6,93
146,4320098300,16,0,0,0,0,0,5
147,4328456959,16,0,0,0,0,0,98
148,4395807778,16,0,0,0,0,2,1
149,4429414530,16,0,0,0,0,1,1
150,4464870026,16,0,0,0,0,16,8
151,4499633167,16,0,0,0,0,1,7
152,4504878556,16,0,0,0,0,0,2
153,4559341560,16,0,0,0,0,1,10
154,4562894935,16,0,0,0,0,0,2
155,4564123818,17,0,0,0,0,0,8
156,4570840412,17,0,0,0,0,0,0
157,4570859137,17,0,0,0,0,0,0
158,4571843068,17,0,0,0,0,0,2
159,4575118083,17,0,0,0,0,0,5
160,4609002664,17,0,0,0,0,0,2
161,4629385211,17,0,0,0,0,0,1
162,4736810049,17,0,0,0,0,1,0
163,4748091424,17,0,0,0,0,2,3
164,4778344896,17,0,0,0,0,2,7
165,4823899121,17,0,0,0,0,1,1
166,4831628286,17,0,0,3,0,0,40
167,4831934240,18,0,0,0,0,1,2
168,4840233586,18,0,0,0,0,0,1
169,4840359936,18,0,0,1,0,58,139
170,4881968896,18,0,0,0,0,1,13
171,4901043504,18,0,0,0,0,0,6
172,4947931129,18,0,0,0,0,3,1
173,5016662023,18,0,0,0,0,0,5
174,5087678213,18,0,0,1,0,0,7
175,5096480708,18,0,0,0,0,0,6
176,5122839489,19,0,0,0,0,0,0
177,5246863484,19,0,0,0,0,0,1
178,5300814723,19,0,0,0,0,0,4
179,5335283034,19,0,0,0,0,0,0
180,5368754368,20,0,0,0,0,2,66
181,5373231155,20,0,0,0,0,0,1
182,5376081945,20,0,0,0,0,0,1
183,5401591285,20,0,0,0,0,0,2
184,5469225085,20,0,0,0,0,1,2
185,5637187631,21,0,0,0,0,2,4
186,5666777923,21,0,0,0,0,2,0
187,5687493071,21,0,0,0,0,0,4
188,5702688832,21,0,0,0,0,0,1
189,5821825056,21,0,0,1,0,4,16
190,5901331680,21,0,0,0,0,0,2
191,5904381919,21,0,0,0,0,1,4
192,5906137146,22,0,0,0,1,0,1
193,5909217072,22,0,0,0,0,2,4
194,5990400900,22,0,0,0,0,0,0
195,6031286140,22,0,0,0,0,0,2
196,6037655007,22,0,0,0,0,1,0
197,6043913150,22,0,0,0,0,0,0
198,6157073663,22,0,0,0,0,1,3
199,6160334639,22,0,1,0,0,0,10
200,6165495735,22,0,0,0,0,1,5
201,6173361913,22,0,0,0,0,0,0
202,6186602739,23,0,0,1,0,3,6
203,6190219516,23,0,0,0,0,5,2
204,6350443635,23,0,0,0,0,1,2
205,6388741060,23,0,0,0,0,1,2
206,6392118291,23,0,0,0,0,0,13
207,6440890219,23,0,0,0,0,2,1
208,6451363872,24,0,0,2,0,11,40
209,6468095296,24,0,1,0,0,0,0
210,6493307092,24,0,0,0,0,0,1
211,6501171464,24,0,0,0,0,0,4
212,6543138825,24,1,0,0,0,0,1
213,6623210759,24,0,0,0,0,0,0
214,6643790339,24,0,0,2,0,1,12
215,6722552587,25,0,0,0,0,1,2
216,6811657731,25,0,0,0,0,0,0
217,6841631791,25,0,0,0,0,0,4
218,6848184864,25,0,0,0,0,2,6
219,6856409091,25,0,0,0,0,0,3
220,6916716016,25,0,0,0,0,0,0
221,6978788595,25,0,0,0,0,0,6
222,6979518334,26,0,0,0,0,0,11
223,6983254190,26,0,0,1,0,0,10
224,6996041724,26,0,0,1,0,0,68
225,7134119950,26,0,0,0,0,0,0
226,7278104498,27,0,0,0,0,0,1
227,7407409194,27,0,0,0,0,1,0
228,7499396479,27,0,0,0,0,4,1
229,7514496988,27,0,0,0,0,0,2
