sample_index,token_id_uint64,mask_id,SALMONELLA_occurrences,DEINOCOCCUS_occurrences,THERMOCOCCUS_occurrences,METHANOSARCINA_occurrences,KLUYVEROMYCES_occurrences,ARABIDOPSIS_occurrences,DROSOPHILA_occurrences,CBRIGGSAE_occurrences
1,6291630,0,0,0,0,1,0,0,2,0
2,17297444,0,0,0,0,0,1,0,2,1
3,29641930,0,1,0,0,0,0,1,0,0
4,69757063,0,0,0,0,0,0,1,1,0
5,70506359,0,0,0,0,0,0,1,0,1
6,88041475,0,0,0,0,0,1,0,0,2
7,97534079,0,0,0,0,0,0,0,1,1
8,120618484,0,1,0,0,0,0,2,1,0
9,130842567,0,1,0,0,0,0,8,6,8
10,131951055,0,0,0,1,0,0,0,0,0
11,234341936,0,0,0,0,0,1,6,0,0
12,241956994,0,0,0,0,0,0,2,0,0
13,264672105,0,0,0,0,0,0,0,0,0
14,268644556,1,0,0,0,0,1,22,33,5
15,302090371,1,0,0,0,0,0,3,0,2
16,318868486,1,0,0,0,0,1,1,3,0
17,336642824,1,0,0,0,1,0,7,1,0
18,367001121,1,0,0,0,0,0,0,2,0
19,469770370,1,0,0,0,0,2,14,2,20
20,571276302,2,0,0,0,0,0,2,4,0
21,666892255,2,0,0,0,0,0,9,4,11
22,668991167,2,0,0,0,17,1,12,8,15
23,724741631,2,1,0,0,0,0,0,3,2
24,770966180,2,0,0,0,0,2,1,2,0
25,788707313,2,0,0,0,0,1,4,9,15
26,791804943,2,1,0,0,0,0,13,13,26
27,792714367,2,1,0,0,0,1,13,4,2
28,805150901,2,0,0,0,0,0,1,0,0
29,806880819,3,0,0,0,0,0,6,4,1
30,807577604,3,0,0,0,0,1,1,2,0
31,809484796,3,0,0,0,0,0,11,19,21
32,810292352,3,0,0,1,0,1,2,3,2
33,818138172,3,0,0,0,1,0,19,33,2
34,825700079,3,0,0,0,1,0,1,0,1
35,907301336,3,0,1,0,1,1,3,5,1
36,936327116,3,0,0,0,0,1,3,1,1
37,937364831,3,0,0,0,0,0,3,0,0
38,946932736,3,0,0,0,0,0,1,10,1
39,1065356226,3,0,0,0,0,3,5,9,20
40,1085471730,4,0,0,0,0,1,5,2,3
41,1103168993,4,0,0,0,0,0,0,1,0
42,1107293377,4,0,0,0,0,0,5,0,7
43,1126608900,4,0,0,0,0,0,1,1,0
44,1144046323,4,1,0,0,0,0,5,1,1
45,1299922769,4,0,0,0,0,0,0,0,0
46,1357939723,5,0,0,0,0,0,2,0,0
47,1406185504,5,0,0,0,0,0,1,0,1
48,1478623361,5,0,0,0,0,0,13,1,5
49,1528866754,5,0,0,0,1,0,0,0,1
50,1547502540,5,0,0,0,1,1,11,7,0
51,1593567112,5,0,0,0,0,1,3,0,1
52,1610887171,6,0,0,0,1,0,44,24,26
53,1613887484,6,0,0,0,0,0,8,13,5
54,1613955020,6,0,0,0,1,1,14,27,14
55,1618050499,6,0,0,0,0,0,3,0,0
56,1623117836,6,0,0,0,0,0,3,3,1
57,1648304811,6,0,0,0,0,0,2,0,0
58,1649087548,6,0,0,0,0,0,0,0,0
59,1742700507,6,0,0,0,1,0,25,5,16
60,1751154849,6,0,0,0,3,1,1,3,2
61,1827765005,6,0,0,0,0,0,0,0,0
62,1844443103,6,0,0,0,1,0,9,5,12
63,1878690687,6,0,0,0,1,0,5,4,2
64,1880033320,7,0,0,0,0,0,7,5,3
65,1880093692,7,0,0,0,0,0,60,42,26
66,1912704047,7,0,0,1,0,0,5,1,0
67,1959758828,7,0,0,0,0,0,1,0,0
68,1976026623,7,2,0,0,1,1,2,2,9
69,2005241090,7,0,0,0,0,0,0,0,0
70,2078752524,7,0,0,0,0,0,2,0,0
71,2088574973,7,2,0,0,0,0,5,6,5
72,2113928191,7,1,0,0,1,0,101,50,85
73,2139617016,7,0,0,0,0,0,0,1,3
74,2149380099,8,0,0,0,0,0,20,13,10
75,2149583619,8,0,0,0,0,0,20,26,5
76,2149679872,8,0,0,0,0,0,5,4,11
77,2160123888,8,0,0,0,2,0,13,9,24
78,2167207344,8,0,0,0,0,0,2,3,0
79,2177124124,8,0,0,0,0,0,1,2,0
80,2181595691,8,0,0,0,0,3,84,5,100
81,2214272193,8,0,0,0,0,0,3,2,1
82,2222717634,8,0,0,0,0,0,0,0,0
83,2266959356,8,0,0,0,0,1,4,3,6
84,2277719108,8,0,0,0,0,0,2,1,0
85,2280726493,8,0,0,0,1,0,4,2,5
86,2285892927,8,0,0,0,0,0,2,0,0
87,2382361329,8,1,0,0,0,0,4,2,4
88,2398138369,8,0,0,0,0,1,3,2,10
89,2402419116,8,0,0,0,0,0,3,0,0
90,2406751740,8,0,0,0,2,0,2,3,3
91,2407497717,8,1,0,2,2,1,20,8,18
92,2411006764,8,0,0,0,1,0,4,1,0
93,2417696515,9,0,0,0,0,2,0,6,0
94,2550137000,9,0,0,0,0,1,18,6,8
95,2597298358,9,0,0,0,0,0,0,1,0
96,2667626467,9,0,0,0,0,2,7,4,14
97,2670706880,9,0,0,0,1,1,16,7,7
98,2683798198,9,0,0,0,0,0,1,0,0
99,2684523228,10,0,0,0,0,0,0,0,1
100,2717906812,10,0,0,0,0,0,3,0,11
101,2735718412,10,0,0,0,0,1,14,23,21
102,2748267633,10,1,0,0,0,0,9,2,0
103,2749507592,10,0,0,0,0,0,3,0,2
104,2752192139,10,0,0,0,0,0,1,0,0
105,2802847544,10,0,0,0,0,1,0,1,2
106,2821389312,10,0,0,0,0,0,2,14,4
107,2895230783,10,0,0,0,0,0,0,1,1
108,2936828175,10,0,0,0,0,0,6,6,0
109,2960932155,11,0,0,0,0,0,1,0,0
110,2961155071,11,0,0,0,0,0,20,2,10
111,2986999852,11,0,0,0,0,2,9,3,8
112,3166174244,11,0,0,0,0,0,4,1,0
113,3179280368,11,0,0,0,0,1,6,3,11
114,3227548671,12,0,0,0,0,0,2,1,1
115,3237084316,12,0,0,0,1,2,3,7,1
116,3237999103,12,1,0,0,2,2,44,19,131
117,3355203665,12,0,0,0,0,0,1,0,1
118,3434285088,12,0,0,0,1,0,10,3,1
119,3488817792,12,0,0,0,1,0,5,1,6
120,3492548624,13,0,0,0,1,1,12,7,4
121,3611522843,13,0,0,0,0,0,2,1,1
122,3623206407,13,0,0,0,0,1,0,2,0
123,3674390528,13,0,0,0,0,1,16,15,45
124,3690999615,13,0,0,0,3,0,17,8,40
125,3692428976,13,0,0,0,0,0,0,0,1
126,3743416536,13,0,0,0,0,0,0,6,0
127,3756847070,13,0,0,0,0,0,5,2,3
128,3787857889,14,0,0,0,0,0,2,3,2
129,3837793759,14,0,0,0,0,0,0,3,0
130,3854573565,14,0,0,0,1,0,8,0,5
131,3870170433,14,1,0,0,0,0,0,0,0
132,3892310715,14,1,0,0,1,0,5,6,4
133,4018094556,14,0,0,0,0,0,7,2,1
134,4022339695,14,0,0,0,0,0,3,3,8
