genome_a,genome_b,domain_a,domain_b,pair_group,shared_masked_tokens,shared_literal_implementation_tokens,masked_only_shared_tokens,literal_retention_fraction,shared_boundary_tokens,shared_boundary_literal_tokens,shared_boundary_masked_only_tokens,boundary_literal_retention_fraction
ECOLI,BACILLUS,Bacteria,Bacteria,SAME_DOMAIN,142,16,126,0.11267605633802817,4,1,3,0.25
ECOLI,PSEUDOMONAS,Bacteria,Bacteria,SAME_DOMAIN,19,3,16,0.15789473684210525,1,0,1,0.0
ECOLI,MYCOPLASMA,Bacteria,Bacteria,SAME_DOMAIN,45,4,41,0.08888888888888889,1,0,1,0.0
ECOLI,PYRO,Bacteria,Archaea,CROSS_DOMAIN,1000,73,927,0.073,29,6,23,0.20689655172413793
ECOLI,SULFOLOBUS,Bacteria,Archaea,CROSS_DOMAIN,75,5,70,0.06666666666666667,6,1,5,0.16666666666666666
ECOLI,METHANOCALDOCOCCUS,Bacteria,Archaea,CROSS_DOMAIN,151,17,134,0.11258278145695365,11,1,10,0.09090909090909091
ECOLI,HALOFERAX,Bacteria,Archaea,CROSS_DOMAIN,8,0,8,0.0,1,0,1,0.0
ECOLI,YEAST,Bacteria,Eukarya,CROSS_DOMAIN,1000,97,903,0.097,42,6,36,0.14285714285714285
ECOLI,POMBE,Bacteria,Eukarya,CROSS_DOMAIN,351,32,319,0.09116809116809117,15,4,11,0.26666666666666666
ECOLI,NEUROSPORA,Bacteria,Eukarya,CROSS_DOMAIN,398,67,331,0.16834170854271358,10,2,8,0.2
ECOLI,CELEGANS,Bacteria,Eukarya,CROSS_DOMAIN,779,290,489,0.3722721437740693,56,40,16,0.7142857142857143
BACILLUS,PSEUDOMONAS,Bacteria,Bacteria,SAME_DOMAIN,3,0,3,0.0,0,0,0,
BACILLUS,MYCOPLASMA,Bacteria,Bacteria,SAME_DOMAIN,10,0,10,0.0,0,0,0,
BACILLUS,PYRO,Bacteria,Archaea,CROSS_DOMAIN,142,17,125,0.11971830985915492,4,1,3,0.25
BACILLUS,SULFOLOBUS,Bacteria,Archaea,CROSS_DOMAIN,13,1,12,0.07692307692307693,1,0,1,0.0
BACILLUS,METHANOCALDOCOCCUS,Bacteria,Archaea,CROSS_DOMAIN,42,7,35,0.16666666666666666,4,0,4,0.0
BACILLUS,HALOFERAX,Bacteria,Archaea,CROSS_DOMAIN,2,0,2,0.0,0,0,0,
BACILLUS,YEAST,Bacteria,Eukarya,CROSS_DOMAIN,142,31,111,0.21830985915492956,6,2,4,0.3333333333333333
BACILLUS,POMBE,Bacteria,Eukarya,CROSS_DOMAIN,84,22,62,0.2619047619047619,3,1,2,0.3333333333333333
BACILLUS,NEUROSPORA,Bacteria,Eukarya,CROSS_DOMAIN,84,17,67,0.20238095238095238,2,1,1,0.5
BACILLUS,CELEGANS,Bacteria,Eukarya,CROSS_DOMAIN,135,75,60,0.5555555555555556,13,10,3,0.7692307692307693
PSEUDOMONAS,MYCOPLASMA,Bacteria,Bacteria,SAME_DOMAIN,0,0,0,,0,0,0,
PSEUDOMONAS,PYRO,Bacteria,Archaea,CROSS_DOMAIN,19,2,17,0.10526315789473684,0,0,0,
PSEUDOMONAS,SULFOLOBUS,Bacteria,Archaea,CROSS_DOMAIN,1,0,1,0.0,0,0,0,
PSEUDOMONAS,METHANOCALDOCOCCUS,Bacteria,Archaea,CROSS_DOMAIN,1,1,0,1.0,0,0,0,
PSEUDOMONAS,HALOFERAX,Bacteria,Archaea,CROSS_DOMAIN,0,0,0,,0,0,0,
PSEUDOMONAS,YEAST,Bacteria,Eukarya,CROSS_DOMAIN,19,2,17,0.10526315789473684,1,1,0,1.0
PSEUDOMONAS,POMBE,Bacteria,Eukarya,CROSS_DOMAIN,7,3,4,0.42857142857142855,0,0,0,
PSEUDOMONAS,NEUROSPORA,Bacteria,Eukarya,CROSS_DOMAIN,6,3,3,0.5,0,0,0,
PSEUDOMONAS,CELEGANS,Bacteria,Eukarya,CROSS_DOMAIN,13,4,9,0.3076923076923077,2,0,2,0.0
MYCOPLASMA,PYRO,Bacteria,Archaea,CROSS_DOMAIN,45,4,41,0.08888888888888889,0,0,0,
MYCOPLASMA,SULFOLOBUS,Bacteria,Archaea,CROSS_DOMAIN,8,1,7,0.125,0,0,0,
MYCOPLASMA,METHANOCALDOCOCCUS,Bacteria,Archaea,CROSS_DOMAIN,24,4,20,0.16666666666666666,1,0,1,0.0
MYCOPLASMA,HALOFERAX,Bacteria,Archaea,CROSS_DOMAIN,1,1,0,1.0,0,0,0,
MYCOPLASMA,YEAST,Bacteria,Eukarya,CROSS_DOMAIN,45,9,36,0.2,1,0,1,0.0
MYCOPLASMA,POMBE,Bacteria,Eukarya,CROSS_DOMAIN,29,13,16,0.4482758620689655,2,2,0,1.0
MYCOPLASMA,NEUROSPORA,Bacteria,Eukarya,CROSS_DOMAIN,24,7,17,0.2916666666666667,1,0,1,0.0
MYCOPLASMA,CELEGANS,Bacteria,Eukarya,CROSS_DOMAIN,44,26,18,0.5909090909090909,2,2,0,1.0
PYRO,SULFOLOBUS,Archaea,Archaea,SAME_DOMAIN,75,8,67,0.10666666666666667,3,0,3,0.0
PYRO,METHANOCALDOCOCCUS,Archaea,Archaea,SAME_DOMAIN,151,28,123,0.18543046357615894,4,2,2,0.5
PYRO,HALOFERAX,Archaea,Archaea,SAME_DOMAIN,8,1,7,0.125,1,0,1,0.0
PYRO,YEAST,Archaea,Eukarya,CROSS_DOMAIN,1000,121,879,0.121,26,8,18,0.3076923076923077
PYRO,POMBE,Archaea,Eukarya,CROSS_DOMAIN,351,59,292,0.16809116809116809,13,4,9,0.3076923076923077
PYRO,NEUROSPORA,Archaea,Eukarya,CROSS_DOMAIN,398,73,325,0.18341708542713567,3,2,1,0.6666666666666666
PYRO,CELEGANS,Archaea,Eukarya,CROSS_DOMAIN,779,276,503,0.35430038510911427,54,41,13,0.7592592592592593
SULFOLOBUS,METHANOCALDOCOCCUS,Archaea,Archaea,SAME_DOMAIN,21,4,17,0.19047619047619047,3,2,1,0.6666666666666666
SULFOLOBUS,HALOFERAX,Archaea,Archaea,SAME_DOMAIN,1,0,1,0.0,0,0,0,
SULFOLOBUS,YEAST,Archaea,Eukarya,CROSS_DOMAIN,75,19,56,0.25333333333333335,4,2,2,0.5
SULFOLOBUS,POMBE,Archaea,Eukarya,CROSS_DOMAIN,38,7,31,0.18421052631578946,3,1,2,0.3333333333333333
SULFOLOBUS,NEUROSPORA,Archaea,Eukarya,CROSS_DOMAIN,43,10,33,0.23255813953488372,0,0,0,
SULFOLOBUS,CELEGANS,Archaea,Eukarya,CROSS_DOMAIN,68,34,34,0.5,7,6,1,0.8571428571428571
METHANOCALDOCOCCUS,HALOFERAX,Archaea,Archaea,SAME_DOMAIN,1,0,1,0.0,0,0,0,
