token_id_uint64,genomes_recovered,total_occurrences,distinct_literal_16mer_implementations,boundary_role_genomes,boundary_recurrent_ge2,boundary_genome_pairs,boundary_pairs_literal_shared,boundary_pairs_masked_only,has_masked_only_boundary_transfer
6291630,5,8,7,0,False,0,0,0,False
17297444,5,7,5,1,False,0,0,0,False
29641930,3,3,3,0,False,0,0,0,False
69757063,3,5,3,0,False,0,0,0,False
70506359,3,3,3,1,False,0,0,0,False
88041475,5,5,4,0,False,0,0,0,False
97534079,4,7,7,0,False,0,0,0,False
120618484,4,5,4,0,False,0,0,0,False
130842567,4,10,7,1,False,0,0,0,False
131951055,3,3,3,0,False,0,0,0,False
234341936,4,4,4,0,False,0,0,0,False
241956994,3,5,4,0,False,0,0,0,False
264672105,3,3,2,0,False,0,0,0,False
268644556,7,34,11,4,True,6,6,0,False
302090371,3,3,3,0,False,0,0,0,False
318868486,4,4,3,1,False,0,0,0,False
336642824,4,4,4,1,False,0,0,0,False
367001121,4,5,5,0,False,0,0,0,False
469770370,5,17,9,1,False,0,0,0,False
571276302,4,5,4,2,True,1,0,1,True
666892255,7,22,13,2,True,1,1,0,False
668991167,6,14,7,0,False,0,0,0,False
724741631,4,5,5,0,False,0,0,0,False
770966180,4,4,4,0,False,0,0,0,False
788707313,5,24,10,0,False,0,0,0,False
791804943,5,48,14,1,False,0,0,0,False
792714367,5,24,7,1,False,0,0,0,False
805150901,4,5,4,1,False,0,0,0,False
806880819,4,6,5,1,False,0,0,0,False
807577604,4,4,4,1,False,0,0,0,False
809484796,7,55,14,2,True,1,0,1,True
810292352,4,4,4,0,False,0,0,0,False
818138172,6,27,13,2,True,1,1,0,False
825700079,4,11,6,0,False,0,0,0,False
907301336,6,10,7,1,False,0,0,0,False
936327116,6,7,5,0,False,0,0,0,False
937364831,6,7,5,0,False,0,0,0,False
946932736,4,7,5,0,False,0,0,0,False
1065356226,6,31,12,0,False,0,0,0,False
1085471730,6,11,7,0,False,0,0,0,False
1103168993,3,3,3,0,False,0,0,0,False
1107293377,7,19,12,2,True,1,0,1,True
1126608900,3,3,3,0,False,0,0,0,False
1144046323,5,6,5,1,False,0,0,0,False
1299922769,4,4,4,1,False,0,0,0,False
1357939723,5,8,6,0,False,0,0,0,False
1406185504,4,7,6,0,False,0,0,0,False
1478623361,5,7,5,1,False,0,0,0,False
1528866754,4,4,4,0,False,0,0,0,False
1547502540,6,12,9,2,True,1,0,1,True
1593567112,3,3,3,0,False,0,0,0,False
1610887171,6,74,15,3,True,3,2,1,True
1613887484,7,14,9,3,True,3,0,3,True
1613955020,6,35,14,3,True,3,3,0,False
1618050499,5,5,5,1,False,0,0,0,False
1623117836,5,9,6,0,False,0,0,0,False
1648304811,3,3,3,0,False,0,0,0,False
1649087548,4,4,4,0,False,0,0,0,False
1742700507,8,22,8,1,False,0,0,0,False
1751154849,6,9,7,0,False,0,0,0,False
1827765005,3,3,2,0,False,0,0,0,False
1844443103,4,14,7,4,True,6,4,2,True
1878690687,6,6,4,1,False,0,0,0,False
1880033320,5,12,6,0,False,0,0,0,False
1880093692,7,127,16,3,True,3,2,1,True
1912704047,5,9,5,1,False,0,0,0,False
1959758828,4,4,4,0,False,0,0,0,False
1976026623,7,10,6,0,False,0,0,0,False
2005241090,3,3,3,0,False,0,0,0,False
2078752524,4,4,4,0,False,0,0,0,False
2088574973,6,8,6,0,False,0,0,0,False
2113928191,7,107,16,2,True,1,1,0,False
2139617016,5,5,5,0,False,0,0,0,False
2149380099,7,44,15,1,False,0,0,0,False
2149583619,6,15,8,2,True,1,1,0,False
2149679872,6,11,7,3,True,3,3,0,False
2160123888,6,31,13,1,False,0,0,0,False
2167207344,4,4,4,0,False,0,0,0,False
2177124124,5,8,4,2,True,1,1,0,False
2181595691,6,37,10,0,False,0,0,0,False
2214272193,4,4,4,0,False,0,0,0,False
2222717634,4,4,3,0,False,0,0,0,False
2266959356,5,7,4,0,False,0,0,0,False
2277719108,3,3,2,0,False,0,0,0,False
2280726493,7,9,8,0,False,0,0,0,False
2285892927,5,8,6,0,False,0,0,0,False
2382361329,6,12,6,2,True,1,0,1,True
2398138369,6,17,11,0,False,0,0,0,False
2402419116,4,5,4,0,False,0,0,0,False
2406751740,6,8,6,0,False,0,0,0,False
2407497717,7,39,12,3,True,3,1,2,True
2411006764,4,13,5,0,False,0,0,0,False
2417696515,5,6,5,0,False,0,0,0,False
2550137000,5,26,11,1,False,0,0,0,False
2597298358,3,3,3,0,False,0,0,0,False
2667626467,5,23,9,2,True,1,1,0,False
2670706880,6,24,9,1,False,0,0,0,False
2683798198,6,8,6,0,False,0,0,0,False
2684523228,4,4,4,1,False,0,0,0,False
2717906812,5,10,8,1,False,0,0,0,False
2735718412,7,47,12,3,True,3,3,0,False
2748267633,5,10,7,1,False,0,0,0,False
2749507592,3,3,2,0,False,0,0,0,False
2752192139,5,5,4,0,False,0,0,0,False
2802847544,5,8,7,1,False,0,0,0,False
2821389312,5,14,7,1,False,0,0,0,False
2895230783,3,3,3,0,False,0,0,0,False
2936828175,4,4,4,0,False,0,0,0,False
2960932155,5,5,4,1,False,0,0,0,False
2961155071,4,14,7,1,False,0,0,0,False
2986999852,5,11,6,1,False,0,0,0,False
3166174244,4,10,6,1,False,0,0,0,False
3179280368,5,6,5,0,False,0,0,0,False
3227548671,5,6,4,2,True,1,0,1,True
3237084316,4,5,5,1,False,0,0,0,False
3237999103,9,153,16,4,True,6,3,3,True
3355203665,4,4,3,0,False,0,0,0,False
3434285088,4,10,6,0,False,0,0,0,False
3488817792,6,8,7,0,False,0,0,0,False
3492548624,6,15,8,1,False,0,0,0,False
3611522843,3,3,3,0,False,0,0,0,False
3623206407,4,4,4,0,False,0,0,0,False
3674390528,8,56,12,5,True,10,4,6,True
3690999615,9,86,15,2,True,1,1,0,False
3692428976,4,4,4,1,False,0,0,0,False
3743416536,4,5,4,0,False,0,0,0,False
3756847070,3,3,3,0,False,0,0,0,False
3787857889,4,4,4,0,False,0,0,0,False
3837793759,5,5,5,1,False,0,0,0,False
3854573565,5,7,6,1,False,0,0,0,False
3870170433,3,3,3,0,False,0,0,0,False
3892310715,5,7,5,0,False,0,0,0,False
4018094556,5,6,4,1,False,0,0,0,False
4022339695,4,24,9,1,False,0,0,0,False
4022870144,8,20,10,1,False,0,0,0,False
4025663468,4,15,8,0,False,0,0,0,False
4027367391,4,19,12,3,True,3,2,1,True
4056169567,3,3,3,0,False,0,0,0,False
4058002371,5,7,5,0,False,0,0,0,False
4060023944,6,6,6,0,False,0,0,0,False
4228411168,4,7,6,1,False,0,0,0,False
4257185270,5,7,7,0,False,0,0,0,False
4286612990,4,9,7,0,False,0,0,0,False
4293969869,6,11,8,0,False,0,0,0,False
4294768639,9,124,16,2,True,1,1,0,False
4320098300,5,9,8,1,False,0,0,0,False
4328456959,5,103,11,2,True,1,0,1,True
4395807778,5,6,5,0,False,0,0,0,False
4429414530,6,10,7,1,False,0,0,0,False
4464870026,6,30,6,0,False,0,0,0,False
4499633167,5,11,10,1,False,0,0,0,False
4504878556,4,5,3,0,False,0,0,0,False
4559341560,6,15,7,0,False,0,0,0,False
4562894935,4,5,5,2,True,1,0,1,True
4564123818,4,12,9,1,False,0,0,0,False
4570840412,3,3,2,1,False,0,0,0,False
4570859137,4,4,3,0,False,0,0,0,False
4571843068,4,5,4,0,False,0,0,0,False
4575118083,5,9,7,0,False,0,0,0,False
4609002664,4,5,4,0,False,0,0,0,False
4629385211,4,4,3,2,True,1,0,1,True
4736810049,4,4,3,0,False,0,0,0,False
4748091424,6,9,4,1,False,0,0,0,False
4778344896,6,17,7,3,True,3,2,1,True
4823899121,5,5,5,0,False,0,0,0,False
4831628286,7,50,11,3,True,3,2,1,True
4831934240,6,8,5,0,False,0,0,0,False
4840233586,4,4,3,0,False,0,0,0,False
4840359936,7,228,12,3,True,3,3,0,False
4881968896,7,21,12,2,True,1,1,0,False
4901043504,5,11,10,0,False,0,0,0,False
4947931129,5,7,4,0,False,0,0,0,False
5016662023,5,9,5,1,False,0,0,0,False
5087678213,5,12,7,1,False,0,0,0,False
5096480708,5,10,7,1,False,0,0,0,False
5122839489,3,3,2,0,False,0,0,0,False
5246863484,4,4,4,1,False,0,0,0,False
5300814723,4,7,6,2,True,1,0,1,True
5335283034,3,3,2,0,False,0,0,0,False
5368754368,7,75,12,2,True,1,1,0,False
5373231155,5,5,5,0,False,0,0,0,False
5376081945,4,4,4,1,False,0,0,0,False
5401591285,5,6,5,0,False,0,0,0,False
5469225085,5,7,5,1,False,0,0,0,False
5637187631,5,9,8,1,False,0,0,0,False
5666777923,4,5,4,0,False,0,0,0,False
5687493071,4,7,6,1,False,0,0,0,False
5702688832,4,4,3,0,False,0,0,0,False
5821825056,8,28,10,3,True,3,2,1,True
5901331680,5,7,6,1,False,0,0,0,False
5904381919,5,8,6,1,False,0,0,0,False
5906137146,6,7,5,0,False,0,0,0,False
5909217072,5,9,8,1,False,0,0,0,False
5990400900,3,3,3,0,False,0,0,0,False
6031286140,4,5,4,0,False,0,0,0,False
6037655007,4,5,4,0,False,0,0,0,False
6043913150,3,3,3,0,False,0,0,0,False
6157073663,6,9,8,1,False,0,0,0,False
6160334639,6,16,7,0,False,0,0,0,False
6165495735,7,14,10,1,False,0,0,0,False
6173361913,3,3,3,0,False,0,0,0,False
6186602739,7,14,10,1,False,0,0,0,False
6190219516,6,12,8,1,False,0,0,0,False
6350443635,5,6,4,1,False,0,0,0,False
6388741060,6,8,6,0,False,0,0,0,False
6392118291,4,16,10,0,False,0,0,0,False
6440890219,5,6,6,1,False,0,0,0,False
6451363872,8,65,12,2,True,1,1,0,False
6468095296,4,4,3,0,False,0,0,0,False
6493307092,5,5,5,2,True,1,0,1,True
6501171464,4,8,6,3,True,3,0,3,True
6543138825,5,5,5,2,True,1,0,1,True
6623210759,3,5,3,0,False,0,0,0,False
6643790339,8,23,11,3,True,3,1,2,True
6722552587,5,7,6,1,False,0,0,0,False
6811657731,3,4,4,0,False,0,0,0,False
6841631791,5,8,5,0,False,0,0,0,False
6848184864,5,11,8,0,False,0,0,0,False
6856409091,5,7,6,1,False,0,0,0,False
6916716016,3,3,3,0,False,0,0,0,False
6978788595,4,9,6,0,False,0,0,0,False
6979518334,4,14,7,0,False,0,0,0,False
6983254190,7,17,8,1,False,0,0,0,False
6996041724,6,74,16,2,True,1,1,0,False
7134119950,3,3,3,0,False,0,0,0,False
7278104498,4,4,3,1,False,0,0,0,False
7407409194,4,5,4,0,False,0,0,0,False
7499396479,5,8,6,0,False,0,0,0,False
7514496988,4,5,4,1,False,0,0,0,False
7564148782,5,12,6,0,False,0,0,0,False
7656543220,4,5,4,0,False,0,0,0,False
7725649919,6,46,13,4,True,6,4,2,True
7776240006,3,3,3,0,False,0,0,0,False
7780388863,6,19,10,3,True,3,2,1,True
7783317309,7,13,7,1,False,0,0,0,False
7784093695,8,82,14,4,True,6,6,0,False
7797211328,8,142,14,7,True,21,13,8,True
7835025422,4,9,8,1,False,0,0,0,False
7916704821,5,5,4,1,False,0,0,0,False
7918628851,4,18,7,2,True,1,0,1,True
7926211371,4,4,3,0,False,0,0,0,False
7950071309,6,6,4,0,False,0,0,0,False
7991918079,5,5,5,0,False,0,0,0,False
8002698591,4,4,3,1,False,0,0,0,False
8019568768,4,11,7,0,False,0,0,0,False
8044676016,6,26,10,2,True,1,1,0,False
8060202951,5,5,5,0,False,0,0,0,False
8066466913,3,3,2,0,False,0,0,0,False
8136785375,5,6,5,1,False,0,0,0,False
8195617328,4,11,10,1,False,0,0,0,False
8245991370,6,6,6,0,False,0,0,0,False
8260646668,4,5,5,0,False,0,0,0,False
8320710644,7,24,11,2,True,1,0,1,True
8320843583,8,54,16,3,True,3,0,3,True
8322154739,4,12,9,1,False,0,0,0,False
8337776655,5,6,4,2,True,1,0,1,True
8384665599,6,7,7,0,False,0,0,0,False
8439103584,3,3,3,0,False,0,0,0,False
8440413649,6,11,8,0,False,0,0,0,False
8443084784,7,27,9,3,True,3,3,0,False
8443127651,3,3,2,0,False,0,0,0,False
8538911239,3,3,3,0,False,0,0,0,False
8585838191,5,5,4,0,False,0,0,0,False
8598320981,4,6,5,0,False,0,0,0,False
8599025824,3,4,4,0,False,0,0,0,False
8657705464,4,4,3,0,False,0,0,0,False
8685820592,3,3,3,0,False,0,0,0,False
8707372031,6,81,14,2,True,1,1,0,False
8714827647,5,5,4,0,False,0,0,0,False
8724139089,5,8,6,0,False,0,0,0,False
8758452012,4,4,4,1,False,0,0,0,False
8794438719,5,16,8,0,False,0,0,0,False
8824849455,5,8,6,3,True,3,0,3,True
8861565456,4,9,7,0,False,0,0,0,False
8862442752,4,5,4,0,False,0,0,0,False
8869709935,4,4,2,0,False,0,0,0,False
8904998860,6,7,6,0,False,0,0,0,False
8908716288,8,20,11,3,True,3,2,1,True
8976921473,4,4,3,1,False,0,0,0,False
9062856700,4,13,6,2,True,1,0,1,True
9093123580,5,10,7,0,False,0,0,0,False
9122597883,6,14,9,2,True,1,0,1,True
9124573429,5,6,4,1,False,0,0,0,False
9127735412,4,5,4,2,True,1,0,1,True
9158248410,5,5,5,1,False,0,0,0,False
9177162033,4,4,2,0,False,0,0,0,False
9261265504,4,4,3,0,False,0,0,0,False
9328132160,7,129,14,4,True,6,4,2,True
9330983677,5,5,5,0,False,0,0,0,False
9333657084,3,3,3,0,False,0,0,0,False
9349493381,3,3,3,0,False,0,0,0,False
9389986042,4,5,3,1,False,0,0,0,False
9390735343,5,6,4,2,True,1,0,1,True
9397500914,4,12,7,0,False,0,0,0,False
9453040845,4,4,4,1,False,0,0,0,False
9462349823,8,827,16,7,True,21,15,6,True
9497411056,5,6,6,0,False,0,0,0,False
9512449360,4,4,4,0,False,0,0,0,False
9521141696,4,4,4,0,False,0,0,0,False
9600889317,5,5,5,0,False,0,0,0,False
9607249851,4,5,5,0,False,0,0,0,False
9648456458,3,4,4,1,False,0,0,0,False
9661577213,9,141,12,4,True,6,6,0,False
9670755168,5,8,7,2,True,1,0,1,True
9671262223,8,57,15,3,True,3,2,1,True
9743369472,5,10,6,1,False,0,0,0,False
9766439884,4,5,3,1,False,0,0,0,False
9797834103,6,9,6,1,False,0,0,0,False
9881699266,4,6,3,0,False,0,0,0,False
9925009424,4,4,2,0,False,0,0,0,False
9932934093,4,5,5,1,False,0,0,0,False
9951020259,3,3,3,0,False,0,0,0,False
10072022945,3,3,3,0,False,0,0,0,False
10183778314,5,15,10,3,True,3,1,2,True
10203479947,6,9,7,1,False,0,0,0,False
10251057104,4,6,4,0,False,0,0,0,False
10271668210,4,6,6,0,False,0,0,0,False
10297847932,4,4,4,0,False,0,0,0,False
10317956108,5,7,7,0,False,0,0,0,False
10370186560,3,3,3,0,False,0,0,0,False
10383752751,4,4,4,0,False,0,0,0,False
10404101146,5,5,4,0,False,0,0,0,False
10432416573,3,3,3,0,False,0,0,0,False
10468914172,8,38,9,2,True,1,1,0,False
10485235703,8,52,16,1,False,0,0,0,False
10503269515,8,14,11,1,False,0,0,0,False
10504638216,7,10,6,0,False,0,0,0,False
10584311699,4,4,4,0,False,0,0,0,False
10674637021,3,3,3,0,False,0,0,0,False
10703597563,5,10,5,1,False,0,0,0,False
10734182261,4,5,4,0,False,0,0,0,False
10767788007,3,3,3,0,False,0,0,0,False
10816457218,4,4,4,1,False,0,0,0,False
10821111768,4,6,5,0,False,0,0,0,False
10854892064,7,16,9,1,False,0,0,0,False
10871883659,3,4,4,0,False,0,0,0,False
10921695691,4,4,4,0,False,0,0,0,False
10922688764,5,8,5,2,True,1,0,1,True
11006246912,8,126,16,5,True,10,9,1,True
11014110245,5,7,6,0,False,0,0,0,False
11021973494,4,4,4,0,False,0,0,0,False
11116724650,3,3,3,0,False,0,0,0,False
11138104602,3,3,3,0,False,0,0,0,False
11148488704,7,16,9,2,True,1,1,0,False
11208143312,3,3,3,0,False,0,0,0,False
11209010595,3,3,3,0,False,0,0,0,False
11209440736,5,7,6,0,False,0,0,0,False
11219368059,4,4,4,0,False,0,0,0,False
11271631095,5,7,6,2,True,1,0,1,True
11274993680,6,26,10,3,True,3,2,1,True
11319243808,3,4,3,0,False,0,0,0,False
11341564929,4,9,6,0,False,0,0,0,False
11416929730,4,4,4,0,False,0,0,0,False
11442782210,5,14,8,1,False,0,0,0,False
11458802444,5,6,4,0,False,0,0,0,False
11487346667,6,13,9,0,False,0,0,0,False
11508695091,4,10,6,0,False,0,0,0,False
11534334276,4,4,2,1,False,0,0,0,False
11540590079,6,10,8,0,False,0,0,0,False
11541687712,5,12,7,3,True,3,2,1,True
11541925884,8,106,16,4,True,6,6,0,False
11604336863,3,3,3,0,False,0,0,0,False
11643376127,6,31,11,2,True,1,1,0,False
11666440183,5,10,7,2,True,1,0,1,True
11752505280,6,40,9,2,True,1,0,1,True
11797797630,5,6,5,0,False,0,0,0,False
11810353392,7,22,10,1,False,0,0,0,False
11812146176,7,152,14,3,True,3,3,0,False
11812168112,3,3,3,0,False,0,0,0,False
11841035679,7,12,6,0,False,0,0,0,False
11878451391,5,8,7,0,False,0,0,0,False
11884101553,3,3,2,0,False,0,0,0,False
11943024637,6,49,7,1,False,0,0,0,False
11948294144,7,33,10,2,True,1,1,0,False
11992083456,5,6,4,0,False,0,0,0,False
12045262642,4,6,6,0,False,0,0,0,False
12062867699,6,31,13,3,True,3,2,1,True
12075448304,4,75,12,2,True,1,1,0,False
12079199036,6,9,6,0,False,0,0,0,False
12180722930,5,6,6,0,False,0,0,0,False
12199807025,4,4,3,0,False,0,0,0,False
12213804736,5,22,11,0,False,0,0,0,False
12300896288,6,6,4,3,True,3,0,3,True
12382883632,5,12,8,2,True,1,0,1,True
12412269530,4,4,4,1,False,0,0,0,False
12414107393,6,60,10,3,True,3,2,1,True
12465209321,5,7,6,2,True,1,0,1,True
12479922037,5,5,4,0,False,0,0,0,False
12582666305,6,7,6,0,False,0,0,0,False
12583695168,4,8,7,1,False,0,0,0,False
12603803407,4,4,4,0,False,0,0,0,False
12614355967,7,50,14,3,True,3,2,1,True
12617015432,6,8,4,0,False,0,0,0,False
12650698751,4,5,4,0,False,0,0,0,False
12723155169,3,4,3,0,False,0,0,0,False
12748398463,9,18,11,0,False,0,0,0,False
12817235743,5,14,7,1,False,0,0,0,False
12820972034,5,10,7,1,False,0,0,0,False
12873048044,4,6,4,0,False,0,0,0,False
12881686676,3,3,3,0,False,0,0,0,False
12886147585,5,20,10,0,False,0,0,0,False
12930199480,4,4,4,0,False,0,0,0,False
12933132748,5,7,5,0,False,0,0,0,False
12942311468,5,9,8,1,False,0,0,0,False
12964847680,3,3,3,0,False,0,0,0,False
13003259681,4,5,2,0,False,0,0,0,False
13021213055,5,14,7,1,False,0,0,0,False
13067353855,4,6,5,1,False,0,0,0,False
13087170900,3,3,3,0,False,0,0,0,False
13118912471,4,4,4,0,False,0,0,0,False
13152295616,5,46,8,1,False,0,0,0,False
13153140787,6,51,13,2,True,1,1,0,False
13153333239,7,41,13,1,False,0,0,0,False
13153869987,6,13,7,0,False,0,0,0,False
13154320383,6,242,16,2,True,1,1,0,False
13155629070,6,11,8,1,False,0,0,0,False
13165655240,4,4,4,0,False,0,0,0,False
13179543392,3,3,2,0,False,0,0,0,False
13186093054,5,11,8,3,True,3,0,3,True
13186235623,6,7,6,0,False,0,0,0,False
13218394161,5,5,5,2,True,1,0,1,True
13241933687,6,13,9,1,False,0,0,0,False
13342084139,4,4,4,1,False,0,0,0,False
13417589814,7,8,7,0,False,0,0,0,False
13426434603,5,6,4,0,False,0,0,0,False
13457096669,4,4,3,1,False,0,0,0,False
13548290575,4,4,3,1,False,0,0,0,False
13637110784,5,7,6,0,False,0,0,0,False
13658799616,4,13,8,0,False,0,0,0,False
13686062528,5,73,12,2,True,1,1,0,False
13693330144,4,5,4,1,False,0,0,0,False
13694142656,8,52,11,2,True,1,0,1,True
13702791232,8,132,16,4,True,6,5,1,True
13706248391,6,9,8,1,False,0,0,0,False
13706452214,5,6,3,0,False,0,0,0,False
13723749244,4,21,9,0,False,0,0,0,False
13819313132,4,4,3,1,False,0,0,0,False
13872739299,3,3,3,0,False,0,0,0,False
13890735059,7,11,7,1,False,0,0,0,False
13904904136,5,9,7,0,False,0,0,0,False
13948870519,5,6,5,0,False,0,0,0,False
14021804287,6,53,14,3,True,3,2,1,True
14041604088,5,5,4,0,False,0,0,0,False
14092308735,5,6,5,1,False,0,0,0,False
14094761947,4,6,5,0,False,0,0,0,False
14118552462,4,4,4,0,False,0,0,0,False
14167048185,4,7,6,1,False,0,0,0,False
14195593340,3,3,2,0,False,0,0,0,False
14340291333,3,3,3,0,False,0,0,0,False
14363406338,6,25,10,3,True,3,3,0,False
14443618495,4,4,4,0,False,0,0,0,False
14453009463,5,5,5,0,False,0,0,0,False
14478941567,4,8,5,3,True,3,0,3,True
14496432130,7,51,13,4,True,6,3,3,True
14562490367,7,31,11,2,True,1,1,0,False
14579809983,3,3,3,1,False,0,0,0,False
14663283187,4,7,6,1,False,0,0,0,False
14692856752,4,4,4,2,True,1,0,1,True
14725430794,3,3,3,0,False,0,0,0,False
14730928256,6,17,7,0,False,0,0,0,False
14747201539,7,40,13,1,False,0,0,0,False
14763818353,7,14,8,1,False,0,0,0,False
14814257919,5,17,10,0,False,0,0,0,False
15031827711,7,29,15,1,False,0,0,0,False
15035564039,5,12,8,0,False,0,0,0,False
15048117132,6,10,9,2,True,1,0,1,True
15063830591,5,8,4,1,False,0,0,0,False
15179149826,3,3,1,0,False,0,0,0,False
15231658047,4,4,3,0,False,0,0,0,False
15234530081,3,3,3,0,False,0,0,0,False
15242177776,5,9,7,1,False,0,0,0,False
15250518300,4,4,4,1,False,0,0,0,False
15301543984,6,19,11,2,True,1,1,0,False
15313764352,5,9,7,1,False,0,0,0,False
15354299343,7,34,10,3,True,3,2,1,True
15409872651,4,14,8,1,False,0,0,0,False
15450779820,4,10,8,1,False,0,0,0,False
15468638208,6,27,13,1,False,0,0,0,False
15503393804,4,7,5,2,True,1,0,1,True
15506277119,7,53,11,1,False,0,0,0,False
15511075872,5,12,9,1,False,0,0,0,False
15514685693,5,8,7,0,False,0,0,0,False
15555690368,5,19,11,1,False,0,0,0,False
15567123711,7,19,10,0,False,0,0,0,False
15571419328,6,23,13,4,True,6,4,2,True
15577825284,7,31,11,0,False,0,0,0,False
15594287243,5,10,7,0,False,0,0,0,False
15672016272,5,5,4,1,False,0,0,0,False
15689990151,4,6,5,0,False,0,0,0,False
15701192703,5,8,7,0,False,0,0,0,False
15715058635,5,6,6,1,False,0,0,0,False
15770716104,5,7,6,0,False,0,0,0,False
15850104771,4,5,5,0,False,0,0,0,False
15854207217,5,37,11,2,True,1,1,0,False
15854649356,6,16,11,1,False,0,0,0,False
15938232347,3,4,3,0,False,0,0,0,False
15974138629,4,4,3,0,False,0,0,0,False
15974193152,6,8,5,0,False,0,0,0,False
15980855424,6,16,8,1,False,0,0,0,False
16041119776,6,10,9,0,False,0,0,0,False
16120074247,3,3,3,0,False,0,0,0,False
16172709320,3,3,3,0,False,0,0,0,False
16223502348,8,9,7,0,False,0,0,0,False
16288505857,4,4,4,0,False,0,0,0,False
16307408831,5,13,7,1,False,0,0,0,False
16331841008,5,8,6,0,False,0,0,0,False
16341028224,4,4,3,0,False,0,0,0,False
16441684316,3,3,3,0,False,0,0,0,False
16559145003,6,10,7,0,False,0,0,0,False
16630449868,4,6,6,1,False,0,0,0,False
16643752128,7,26,13,3,True,3,1,2,True
16655452346,6,8,5,0,False,0,0,0,False
16693117950,7,13,7,0,False,0,0,0,False
16703845339,3,3,3,0,False,0,0,0,False
16723471544,4,5,5,0,False,0,0,0,False
16843784748,4,4,4,1,False,0,0,0,False
16897802235,5,64,12,1,False,0,0,0,False
16914609136,6,13,9,1,False,0,0,0,False
16922960061,4,4,4,0,False,0,0,0,False
16944448511,8,25,10,1,False,0,0,0,False
