genome_a,genome_b,deepest_shared_ncbi_lineage,common_prefix_nodes,literal_vocab_a,literal_vocab_b,shared_literal_vocab_items,literal_set_jaccard,masked_vocab_a,masked_vocab_b,shared_masked_tokens,masked_set_jaccard
ECOLI,BACILLUS,Bacteria,2,1041,170,16,0.013389121338912133,1000,142,142,0.142
ECOLI,PSEUDOMONAS,Gammaproteobacteria,5,1041,19,3,0.002838221381267739,1000,19,19,0.019
ECOLI,MYCOPLASMA,Bacteria,2,1041,50,4,0.0036798528058877645,1000,45,45,0.045
ECOLI,PYRO,cellular organisms,1,1041,1051,73,0.03615651312530956,1000,1000,1000,1.0
ECOLI,SULFOLOBUS,cellular organisms,1,1041,86,6,0.0053523639607493305,1000,75,75,0.075
ECOLI,METHANOCALDOCOCCUS,cellular organisms,1,1041,215,17,0.013720742534301856,1000,151,151,0.151
ECOLI,HALOFERAX,cellular organisms,1,1041,8,0,0.0,1000,8,8,0.008
ECOLI,YEAST,cellular organisms,1,1041,1319,98,0.04332449160035367,1000,1000,1000,1.0
ECOLI,POMBE,cellular organisms,1,1041,658,32,0.01919616076784643,1000,351,351,0.351
ECOLI,NEUROSPORA,cellular organisms,1,1041,770,68,0.03901319563970167,1000,398,398,0.398
ECOLI,CELEGANS,cellular organisms,1,1041,3650,300,0.06832156684126622,1000,779,779,0.779
BACILLUS,PSEUDOMONAS,Bacteria,2,170,19,0,0.0,142,19,3,0.0189873417721519
BACILLUS,MYCOPLASMA,Bacillati,3,170,50,0,0.0,142,45,10,0.05649717514124294
BACILLUS,PYRO,cellular organisms,1,170,1051,18,0.014962593516209476,142,1000,142,0.142
BACILLUS,SULFOLOBUS,cellular organisms,1,170,86,1,0.00392156862745098,142,75,13,0.06372549019607843
BACILLUS,METHANOCALDOCOCCUS,cellular organisms,1,170,215,7,0.018518518518518517,142,151,42,0.16733067729083664
BACILLUS,HALOFERAX,cellular organisms,1,170,8,0,0.0,142,8,2,0.013513513513513514
BACILLUS,YEAST,cellular organisms,1,170,1319,31,0.021262002743484224,142,1000,142,0.142
BACILLUS,POMBE,cellular organisms,1,170,658,22,0.02729528535980149,142,351,84,0.20537897310513448
BACILLUS,NEUROSPORA,cellular organisms,1,170,770,19,0.02062975027144408,142,398,84,0.18421052631578946
BACILLUS,CELEGANS,cellular organisms,1,170,3650,88,0.023579849946409433,142,779,135,0.1717557251908397
PSEUDOMONAS,MYCOPLASMA,Bacteria,2,19,50,0,0.0,19,45,0,0.0
PSEUDOMONAS,PYRO,cellular organisms,1,19,1051,2,0.0018726591760299626,19,1000,19,0.019
PSEUDOMONAS,SULFOLOBUS,cellular organisms,1,19,86,0,0.0,19,75,1,0.010752688172043012
PSEUDOMONAS,METHANOCALDOCOCCUS,cellular organisms,1,19,215,1,0.004291845493562232,19,151,1,0.005917159763313609
PSEUDOMONAS,HALOFERAX,cellular organisms,1,19,8,0,0.0,19,8,0,0.0
PSEUDOMONAS,YEAST,cellular organisms,1,19,1319,2,0.0014970059880239522,19,1000,19,0.019
PSEUDOMONAS,POMBE,cellular organisms,1,19,658,3,0.004451038575667656,19,351,7,0.01928374655647383
PSEUDOMONAS,NEUROSPORA,cellular organisms,1,19,770,3,0.003816793893129771,19,398,6,0.014598540145985401
PSEUDOMONAS,CELEGANS,cellular organisms,1,19,3650,4,0.001091405184174625,19,779,13,0.016560509554140127
MYCOPLASMA,PYRO,cellular organisms,1,50,1051,4,0.0036463081130355514,45,1000,45,0.045
MYCOPLASMA,SULFOLOBUS,cellular organisms,1,50,86,1,0.007407407407407408,45,75,8,0.07142857142857142
MYCOPLASMA,METHANOCALDOCOCCUS,cellular organisms,1,50,215,4,0.01532567049808429,45,151,24,0.13953488372093023
MYCOPLASMA,HALOFERAX,cellular organisms,1,50,8,1,0.017543859649122806,45,8,1,0.019230769230769232
MYCOPLASMA,YEAST,cellular organisms,1,50,1319,9,0.006617647058823529,45,1000,45,0.045
MYCOPLASMA,POMBE,cellular organisms,1,50,658,13,0.01870503597122302,45,351,29,0.07901907356948229
MYCOPLASMA,NEUROSPORA,cellular organisms,1,50,770,7,0.008610086100861008,45,398,24,0.057279236276849645
MYCOPLASMA,CELEGANS,cellular organisms,1,50,3650,29,0.00789975483519477,45,779,44,0.05641025641025641
PYRO,SULFOLOBUS,Archaea,2,1051,86,8,0.0070859167404783,1000,75,75,0.075
PYRO,METHANOCALDOCOCCUS,Methanobacteriota,4,1051,215,28,0.022617124394184167,1000,151,151,0.151
PYRO,HALOFERAX,Methanobacteriota,4,1051,8,1,0.000945179584120983,1000,8,8,0.008
PYRO,YEAST,cellular organisms,1,1051,1319,121,0.05380168963983993,1000,1000,1000,1.0
PYRO,POMBE,cellular organisms,1,1051,658,59,0.03575757575757576,1000,351,351,0.351
PYRO,NEUROSPORA,cellular organisms,1,1051,770,78,0.04475043029259897,1000,398,398,0.398
PYRO,CELEGANS,cellular organisms,1,1051,3650,287,0.06502038966923425,1000,779,779,0.779
SULFOLOBUS,METHANOCALDOCOCCUS,Archaea,2,86,215,4,0.013468013468013467,75,151,21,0.1024390243902439
SULFOLOBUS,HALOFERAX,Archaea,2,86,8,0,0.0,75,8,1,0.012195121951219513
SULFOLOBUS,YEAST,cellular organisms,1,86,1319,20,0.01444043321299639,75,1000,75,0.075
SULFOLOBUS,POMBE,cellular organisms,1,86,658,7,0.009497964721845319,75,351,38,0.0979381443298969
SULFOLOBUS,NEUROSPORA,cellular organisms,1,86,770,11,0.01301775147928994,75,398,43,0.1
SULFOLOBUS,CELEGANS,cellular organisms,1,86,3650,38,0.010275824770146024,75,779,68,0.08651399491094147
METHANOCALDOCOCCUS,HALOFERAX,Methanobacteriota,4,215,8,0,0.0,151,8,1,0.006329113924050633
METHANOCALDOCOCCUS,YEAST,cellular organisms,1,215,1319,50,0.03369272237196765,151,1000,151,0.151
METHANOCALDOCOCCUS,POMBE,cellular organisms,1,215,658,50,0.060753341433778855,151,351,100,0.24875621890547264
METHANOCALDOCOCCUS,NEUROSPORA,cellular organisms,1,215,770,35,0.03684210526315789,151,398,87,0.18831168831168832
METHANOCALDOCOCCUS,CELEGANS,cellular organisms,1,215,3650,137,0.03674892703862661,151,779,147,0.18773946360153257
HALOFERAX,YEAST,cellular organisms,1,8,1319,1,0.0007541478129713424,8,1000,8,0.008
HALOFERAX,POMBE,cellular organisms,1,8,658,1,0.0015037593984962407,8,351,4,0.011267605633802818
HALOFERAX,NEUROSPORA,cellular organisms,1,8,770,0,0.0,8,398,4,0.009950248756218905
HALOFERAX,CELEGANS,cellular organisms,1,8,3650,0,0.0,8,779,6,0.0076824583866837385
YEAST,POMBE,Ascomycota,6,1319,658,132,0.07154471544715447,1000,351,351,0.351
YEAST,NEUROSPORA,saccharomyceta,7,1319,770,164,0.0851948051948052,1000,398,398,0.398
YEAST,CELEGANS,Opisthokonta,3,1319,3650,463,0.10275188637372393,1000,779,779,0.779
POMBE,NEUROSPORA,Ascomycota,6,658,770,137,0.10611928737412858,351,398,199,0.3618181818181818
POMBE,CELEGANS,Opisthokonta,3,658,3650,385,0.09813917919959216,351,779,332,0.41604010025062654
NEUROSPORA,CELEGANS,Opisthokonta,3,770,3650,373,0.09216703731158883,398,779,350,0.42321644498186217
