genome,frozen_record,annotation_seqid,length_bp,sequence_sha256
ECOLI,ENA|U00096|U00096.3,NC_000913.3,4641652,e999dceccb76562d40e49a10d9e6d4cf1c05d184f4f80b92bb32d4a2420c11d0
PYRO,NC_003413.1,NC_003413.1,1908256,34307cbb2b2f2fb8f64bc36c3581c4115347652ded46a343e1c68bb0cea9bdb2
YEAST,chr1,NC_001133.9,230218,3c5c06b2ccb802798265a543cc6511d954a0a64a522c3f6af05be0553d6f0a62
YEAST,chr2,NC_001134.8,813184,1d3d69f9e8e924f34f23ec3daa32641f8ad637f36f21a3f0b0f350f981f3773f
YEAST,chr3,NC_001135.5,316620,f2ac8762cff58a4a1375a05dcb70e783609efc19d49b64da95ecb5214ee52b3d
YEAST,chr4,NC_001136.10,1531933,a1362645406e70c61aa2bb4a880d3af83bdb4b7892598eda3350eb091e719855
YEAST,chr5,NC_001137.3,576874,27693c6f4e821d2a631e4a4988e6e0e3ccf4a6a4b2d2791fb841de7a3206075b
YEAST,chr6,NC_001138.5,270161,473b26e8befabff7978a5019567e0c136e50fa5107680d1303cbe10d2155ac3a
YEAST,chr7,NC_001139.9,1090940,f43c30ed46c6906024f510bdf24781b44d1ec3472c5a82cda1ad5b62b5e91094
YEAST,chr8,NC_001140.6,562643,c859093aeeb0fa8a9a9d74718182684d87e4c9709dc11f223c74c54763d240fe
YEAST,chr9,NC_001141.2,439888,e738aaa8eee8e7b0c187ea1c96e3dccd0d661a67865388051ab445460e99971e
YEAST,chr10,NC_001142.9,745751,7e775dfee24430c4eff2dcc22656636b08bab4d356fa9199be59754cd864b6ab
YEAST,chr11,NC_001143.9,666816,7cc5d693ff025732b105bdc629a79cc052f41dabaf6d4ce6c75de8f9d82ec274
YEAST,chr12,NC_001144.5,1078177,768a47c6d9057fa70275f978c561e1e3bdf45e8c7e9b88f3313d2d0ac37c3de5
YEAST,chr13,NC_001145.3,924431,2d9d9c272baccee2ad7e52e395dd9b85efca3fb87072cc541b8a8e4f3af3d47c
YEAST,chr14,NC_001146.8,784333,c3bbca6b880946bd2172a6e797fe9d3830eb1494b6f63ef4637c4993cc56c789
YEAST,chr15,NC_001147.6,1091291,e0d3976e52b8051431f89b97d31cfba937cdb37286f93ed5689b10949fea0c7b
YEAST,chr16,NC_001148.4,948066,d764a0e87af8d43b2dbec78d69423f4008f266bdfa5003c8b6d2ba77f8872918
YEAST,chrM,NC_001224.1,85779,91d5192f1bd21aa9a00259b21a43c450de1926e87fb1847ab1533f437e1b488e
